athlete_name,gender,nationality,date,course,finish_time_seconds,year,age_at_race,known_shoe
Albert Korir,M,Kenya,,boston,7681,2023,,super_shoe_unknown_brand
Zouhair Talbi,M,Morocco,,boston,7715,2023,,super_shoe_unknown_brand
Eliud Kipchoge,M,Kenya,,boston,7763,2023,,super_shoe_unknown_brand
Scott Fauble,M,United States,,boston,7784,2023,,super_shoe_unknown_brand
Hassan Chahdi,M,France,,boston,7786,2023,,super_shoe_unknown_brand
John Korir,M,Kenya,,boston,7804,2023,,super_shoe_unknown_brand
Matthew McDonald,M,United States,,boston,7817,2023,,super_shoe_unknown_brand
Conner Mantz,M,United States,,boston,7825,2023,,super_shoe_unknown_brand
CJ Albertson,M,United States,,boston,7833,2023,,super_shoe_unknown_brand
Nico Montanez,M,United States,,boston,7852,2023,,super_shoe_unknown_brand
Shura Kitata,M,Ethiopia,,boston,7886,2023,,super_shoe_unknown_brand
Andualem Belay,M,Ethiopia,,boston,7910,2023,,super_shoe_unknown_brand
Hendrik Pfeiffer,M,Germany,,boston,7942,2023,,super_shoe_unknown_brand
JP Flavin,M,United States,,boston,8007,2023,,super_shoe_unknown_brand
Turner Wiley,M,United States,,boston,8037,2023,,super_shoe_unknown_brand
Isaac Mpofu,M,Zimbabwe,,boston,8048,2023,,super_shoe_unknown_brand
Chad Hall,M,United States,,boston,8053,2023,,super_shoe_unknown_brand
Colin Mickow,M,United States,,boston,8067,2023,,super_shoe_unknown_brand
Mark Korir,M,Kenya,,boston,8077,2023,,super_shoe_unknown_brand
Ben True,M,United States,,boston,8166,2023,,super_shoe_unknown_brand
Connor Weaver,M,United States,,boston,8185,2023,,super_shoe_unknown_brand
Jonas Hampton,M,United States,,boston,8225,2023,,super_shoe_unknown_brand
Ian Butler,M,United States,,boston,8275,2023,,super_shoe_unknown_brand
Edward Mulder,M,United States,,boston,8284,2023,,super_shoe_unknown_brand
Joseph Whelan,M,United States,,boston,8303,2023,,super_shoe_unknown_brand
Zachary Ornelas,M,United States,,boston,8408,2023,,super_shoe_unknown_brand
Sam Chelanga,M,United States,,boston,8420,2023,,super_shoe_unknown_brand
Hellen Obiri,W,Kenya,,boston,8498,2023,,super_shoe_unknown_brand
Amane Beriso,W,Ethiopia,,boston,8510,2023,,super_shoe_unknown_brand
Lonah Salpeter,W,Israel,,boston,8517,2023,,super_shoe_unknown_brand
Ababel Yeshaneh,W,Ethiopia,,boston,8520,2023,,super_shoe_unknown_brand
Emma Bates,W,United States,,boston,8530,2023,,super_shoe_unknown_brand
Nazret Weldu,W,Eritrea,,boston,8605,2023,,super_shoe_unknown_brand
Angela Tanui,W,Kenya,,boston,8652,2023,,super_shoe_unknown_brand
Hiwot Gebremaryam,W,Ethiopia,,boston,8670,2023,,super_shoe_unknown_brand
Mary Ngugi,W,Kenya,,boston,8673,2023,,super_shoe_unknown_brand
Gotytom Gebreslase,W,Ethiopia,,boston,8674,2023,,super_shoe_unknown_brand
Aliphine Tuliamuk,W,United States,,boston,8677,2023,,super_shoe_unknown_brand
Joyciline Jepkosgei,W,Kenya,,boston,8684,2023,,super_shoe_unknown_brand
Viola Cheptoo,W,Kenya,,boston,8689,2023,,super_shoe_unknown_brand
Nell Rojas,W,United States,,boston,8691,2023,,super_shoe_unknown_brand
Nienke Brinkman,W,Netherlands,,boston,8698,2023,,super_shoe_unknown_brand
Celestine Chepchirchir,W,Kenya,,boston,8707,2023,,super_shoe_unknown_brand
Sara Hall,W,United States,,boston,8748,2023,,super_shoe_unknown_brand
Desiree Linden,W,United States,,boston,8838,2023,,super_shoe_unknown_brand
Vibian Chepkirui,W,Kenya,,boston,8892,2023,,super_shoe_unknown_brand
Annie Frisbie,W,United States,,boston,8925,2023,,super_shoe_unknown_brand
Atsede Baysa,W,Ethiopia,,boston,9014,2023,,super_shoe_unknown_brand
Anna Rohrer,W,United States,,boston,9052,2023,,super_shoe_unknown_brand
Sydney Devore,W,United States,,boston,9068,2023,,super_shoe_unknown_brand
Maggie Montoya,W,United States,,boston,9079,2023,,super_shoe_unknown_brand
Anne-Marie Blaney,W,United States,,boston,9092,2023,,super_shoe_unknown_brand
Maegan Krifchin,W,United States,,boston,9166,2023,,super_shoe_unknown_brand
Dakotah Lindwurm,W,United States,,boston,9233,2023,,super_shoe_unknown_brand
Erika Kemp,W,United States,,boston,9237,2023,,super_shoe_unknown_brand
Savannah Berry,W,United States,,boston,9270,2023,,super_shoe_unknown_brand
Laura Thweatt,W,United States,,boston,9275,2023,,super_shoe_unknown_brand
Sisay Lemma,M,Ethiopia,,boston,7577,2024,,super_shoe_unknown_brand
Mohamed Esa,M,Ethiopia,,boston,7618,2024,,super_shoe_unknown_brand
Evans Chebet,M,Kenya,,boston,7642,2024,,super_shoe_unknown_brand
John Korir,M,Kenya,,boston,7660,2024,,super_shoe_unknown_brand
Albert Korir,M,Kenya,,boston,7667,2024,,super_shoe_unknown_brand
Isaac Mpofu,M,Zimbabwe,,boston,7697,2024,,super_shoe_unknown_brand
CJ Albertson,M,United States,,boston,7793,2024,,super_shoe_unknown_brand
Yuma Morii,M,Japan,,boston,7799,2024,,super_shoe_unknown_brand
Cyprian Kimurgor Kotut,M,Kenya,,boston,7829,2024,,super_shoe_unknown_brand
Zouhair Talbi,M,Morocco,,boston,7845,2024,,super_shoe_unknown_brand
Shura Kitata,M,Ethiopia,,boston,7845,2024,,super_shoe_unknown_brand
Sondre Nordstad Moen,M,Norway,,boston,7845,2024,,super_shoe_unknown_brand
Suguru Osako,M,Japan,,boston,7845,2024,,super_shoe_unknown_brand
Elkanah Kibet,M,United States,,boston,7845,2024,,super_shoe_unknown_brand
Ryan Eiler,M,United States,,boston,8062,2024,,super_shoe_unknown_brand
Yemane Haileselassie,M,Ethiopia,,boston,8084,2024,,super_shoe_unknown_brand
Primož Kobe,M,Slovenia,,boston,8096,2024,,super_shoe_unknown_brand
Patrick Smyth,M,United States,,boston,8145,2024,,super_shoe_unknown_brand
Grant O'Connor,M,United States,,boston,8177,2024,,super_shoe_unknown_brand
Alexandru Corneschi,M,Romania,,boston,8183,2024,,super_shoe_unknown_brand
Robert Miranda,M,United States,,boston,8188,2024,,super_shoe_unknown_brand
Ryoma Takeuchi,M,Japan,,boston,8203,2024,,super_shoe_unknown_brand
Lorenz Baum,M,Germany,,boston,8211,2024,,super_shoe_unknown_brand
Jacob Shiohira,M,United States,,boston,8228,2024,,super_shoe_unknown_brand
Kento Otsu,M,Japan,,boston,8277,2024,,super_shoe_unknown_brand
Kristoffer Mugrage,M,Philippines,,boston,8326,2024,,super_shoe_unknown_brand
Prescott Leach,M,United States,,boston,8390,2024,,super_shoe_unknown_brand
Giovanni Grano,M,Italy,,boston,8396,2024,,super_shoe_unknown_brand
Andrew McCann,M,United States,,boston,8406,2024,,super_shoe_unknown_brand
Joel Conn,M,United States,,boston,8495,2024,,super_shoe_unknown_brand
Hellen Obiri,W,Kenya,,boston,8557,2024,,super_shoe_unknown_brand
Sharon Lokedi,W,Kenya,,boston,8565,2024,,super_shoe_unknown_brand
Edna Kiplagat,W,Kenya,,boston,8601,2024,,super_shoe_unknown_brand
Buze Diriba,W,Ethiopia,,boston,8644,2024,,super_shoe_unknown_brand
Senbere Teferi,W,Ethiopia,,boston,8644,2024,,super_shoe_unknown_brand
Mary Ngugi,W,Kenya,,boston,8664,2024,,super_shoe_unknown_brand
Workenesh Edesa,W,Ethiopia,,boston,8687,2024,,super_shoe_unknown_brand
Fatima Ezzahra Gardadi,W,Morocco,,boston,8693,2024,,super_shoe_unknown_brand
Tiruye Mesfin,W,Ethiopia,,boston,8698,2024,,super_shoe_unknown_brand
Dera Dida,W,Ethiopia,,boston,8716,2024,,super_shoe_unknown_brand
Siranesh Yirga,W,Ethiopia,,boston,8791,2024,,super_shoe_unknown_brand
Emma Bates,W,United States,,boston,8834,2024,,super_shoe_unknown_brand
Vibian Chepkirui,W,Kenya,,boston,8843,2024,,super_shoe_unknown_brand
Helah Kiprop,W,Kenya,,boston,8856,2024,,super_shoe_unknown_brand
Sara Hall,W,United States,,boston,8878,2024,,super_shoe_unknown_brand
Desiree Linden,W,United States,,boston,8907,2024,,super_shoe_unknown_brand
Meseret Belete,W,Ethiopia,,boston,9063,2024,,super_shoe_unknown_brand
Jenny Simpson,W,United States,,boston,9099,2024,,super_shoe_unknown_brand
Angie Orjuela,W,Colombia,,boston,9134,2024,,super_shoe_unknown_brand
Dominique Scott,W,South Africa,,boston,9151,2024,,super_shoe_unknown_brand
Argentina Valdepeñas Cerna,W,Mexico,,boston,9477,2024,,super_shoe_unknown_brand
Katie Kellner,W,United States,,boston,9499,2024,,super_shoe_unknown_brand
Michelle Krezonoski,W,Canada,,boston,9503,2024,,super_shoe_unknown_brand
Rachel Hyland,W,United States,,boston,9624,2024,,super_shoe_unknown_brand
Sara Lopez,W,United States,,boston,9628,2024,,super_shoe_unknown_brand
Kim Krezonoski,W,Canada,,boston,9650,2024,,super_shoe_unknown_brand
Abigail Corrigan,W,United States,,boston,9774,2024,,super_shoe_unknown_brand
Johanna Bäcklund,W,Sweden,,boston,9781,2024,,super_shoe_unknown_brand
Emilee Risteen,W,United States,,boston,9792,2024,,super_shoe_unknown_brand
Maura Lemon,W,United States,,boston,9879,2024,,super_shoe_unknown_brand
Masakazu Fujiwara,M,Japan,,tokyo,7939,2010,,pre_vaporfly
Arata Fujiwara,M,Japan,,tokyo,7954,2010,,pre_vaporfly
Atsushi Sato,M,Japan,,tokyo,7955,2010,,pre_vaporfly
Yuki Kawauchi,M,Japan,,tokyo,7956,2010,,pre_vaporfly
Tomoya Adachi,M,Japan,,tokyo,7966,2010,,pre_vaporfly
Joseph Muwaniki,M,Japan,,tokyo,7973,2010,,pre_vaporfly
Rachid Kisri,M,Morocco,,tokyo,7979,2010,,pre_vaporfly
Takaaki Koda,M,Japan,,tokyo,7984,2010,,pre_vaporfly
Salim Kipsang,M,Kenya,,tokyo,7996,2010,,pre_vaporfly
Kiyokatsu Hasegawa,M,Japan,,tokyo,8115,2010,,pre_vaporfly
Alevtina Biktimirova,W,Russia,,tokyo,9279,2010,,pre_vaporfly
Robe Guta,W,Ethiopia,,tokyo,9389,2010,,pre_vaporfly
Nuța Olaru,W,Romania,,tokyo,9402,2010,,pre_vaporfly
Maki Kouno,W,Japan,,tokyo,9541,2010,,pre_vaporfly
Yang Jing,W,China,,tokyo,9664,2010,,pre_vaporfly
Yumi Satō,W,Japan,,tokyo,9781,2010,,pre_vaporfly
Wakana Hanadou,W,Japan,,tokyo,9843,2010,,pre_vaporfly
Hailu Mekonnen,M,Ethiopia,,tokyo,7655,2011,,pre_vaporfly
Paul Biwott,M,Kenya,,tokyo,7697,2011,,pre_vaporfly
Yuki Kawauchi,M,Japan,,tokyo,7717,2011,,pre_vaporfly
Yoshinori Oda,M,Japan,,tokyo,7743,2011,,pre_vaporfly
Cyrus Njubi,M,Kenya,,tokyo,7750,2011,,pre_vaporfly
Felix Limo,M,Kenya,,tokyo,7850,2011,,pre_vaporfly
Takaaki Koda,M,Japan,,tokyo,7868,2011,,pre_vaporfly
Salim Kipsang,M,Kenya,,tokyo,7885,2011,,pre_vaporfly
Yemane Tsegay,M,Ethiopia,,tokyo,7909,2011,,pre_vaporfly
Takashi Horiguchi,M,Japan,,tokyo,7925,2011,,pre_vaporfly
Noriko Higuchi,W,Japan,,tokyo,8929,2011,,pre_vaporfly
Tatyana Petrova Arkhipova,W,Russia,,tokyo,8936,2011,,pre_vaporfly
Yoko Shibui,W,Japan,,tokyo,8943,2011,,pre_vaporfly
Misaki Katsumata,W,Japan,,tokyo,9070,2011,,pre_vaporfly
Sumiko Suzuki,W,Japan,,tokyo,9122,2011,,pre_vaporfly
Rina Yamazaki,W,Japan,,tokyo,9171,2011,,pre_vaporfly
Shoko Miyazaki,W,Japan,,tokyo,9190,2011,,pre_vaporfly
Yumi Hirata,W,Japan,,tokyo,9194,2011,,pre_vaporfly
Olena Burkovska,W,Ukraine,,tokyo,9210,2011,,pre_vaporfly
Miki Ohira,W,Japan,,tokyo,9286,2011,,pre_vaporfly
Michael Kipyego,M,Kenya,,tokyo,7657,2012,,pre_vaporfly
Arata Fujiwara,M,Japan,,tokyo,7668,2012,,pre_vaporfly
Stephen Kiprotich,M,Uganda,,tokyo,7670,2012,,pre_vaporfly
Haile Gebrselassie,M,Ethiopia,,tokyo,7697,2012,,pre_vaporfly
Viktor Röthlin,M,Switzerland,,tokyo,7712,2012,,pre_vaporfly
Kazuhiro Maeda,M,Japan,,tokyo,7718,2012,,pre_vaporfly
Takayuki Matsumiya,M,Japan,,tokyo,7768,2012,,pre_vaporfly
Hailu Mekonnen,M,Ethiopia,,tokyo,7799,2012,,pre_vaporfly
Takeshi Kumamoto,M,Japan,,tokyo,7813,2012,,pre_vaporfly
Atsushi Ikawa,M,Japan,,tokyo,7886,2012,,pre_vaporfly
Atsede Habtamu,W,Ethiopia,,tokyo,8728,2012,,pre_vaporfly
Yeshi Esayias,W,Ethiopia,,tokyo,8760,2012,,pre_vaporfly
Helena Kirop,W,Kenya,,tokyo,8762,2012,,pre_vaporfly
Eri Okubo,W,Japan,,tokyo,8768,2012,,pre_vaporfly
Tatyana Aryasova,W,Russia,,tokyo,8806,2012,,pre_vaporfly
Lishan Dula,W,Bahrain,,tokyo,8902,2012,,pre_vaporfly
Eyerusalem Kuma,W,Ethiopia,,tokyo,8916,2012,,pre_vaporfly
Kateryna Stetsenko,W,Ukraine,,tokyo,8918,2012,,pre_vaporfly
Adriana Aparecida da Silva,W,Brazil,,tokyo,8957,2012,,pre_vaporfly
Sumiko Suzuki,W,Japan,,tokyo,8965,2012,,pre_vaporfly
Michael Kipyego,M,Kenya,,tokyo,7618,2013,,pre_vaporfly
Bernard Kipyego,M,Kenya,,tokyo,7673,2013,,pre_vaporfly
Kazuhiro Maeda,M,Japan,,tokyo,7679,2013,,pre_vaporfly
James Kwambai,M,Kenya,,tokyo,7682,2013,,pre_vaporfly
Gilbert Kirwa,M,Kenya,,tokyo,7697,2013,,pre_vaporfly
Feyisa Bekele,M,Ethiopia,,tokyo,7745,2013,,pre_vaporfly
Dino Sefir,M,Ethiopia,,tokyo,7753,2013,,pre_vaporfly
Takayuki Matsumiya,M,Japan,,tokyo,7754,2013,,pre_vaporfly
Jonathan Maiyo,M,Kenya,,tokyo,7818,2013,,pre_vaporfly
Aberu Kebede,W,Ethiopia,,tokyo,8734,2013,,pre_vaporfly
Yeshi Esayias,W,Ethiopia,,tokyo,8761,2013,,pre_vaporfly
Irina Mikitenko,W,Germany,,tokyo,8801,2013,,pre_vaporfly
Albina Mayorova,W,Russia,,tokyo,8811,2013,,pre_vaporfly
Yoshimi Ozaki,W,Japan,,tokyo,8910,2013,,pre_vaporfly
Helalia Johannes,W,Namibia,,tokyo,8960,2013,,pre_vaporfly
Mika Yoshikawa,W,Japan,,tokyo,9020,2013,,pre_vaporfly
Nastassia Staravoitava,W,Bulgaria,,tokyo,9045,2013,,pre_vaporfly
Azusa Nojiri,W,Japan,,tokyo,9075,2013,,pre_vaporfly
Hiroko Yoshitomi,W,Japan,,tokyo,9088,2013,,pre_vaporfly
Tadese Tola,M,Ethiopia,,tokyo,7557,2014,,pre_vaporfly
Sammy Kitwara,M,Kenya,,tokyo,7590,2014,,pre_vaporfly
Michael Kipyego,M,Kenya,,tokyo,7618,2014,,pre_vaporfly
Peter Kimeli Some,M,Kenya,,tokyo,7625,2014,,pre_vaporfly
Geoffrey Kipsang,M,Kenya,,tokyo,7657,2014,,pre_vaporfly
Deressa Chimsa,M,Ethiopia,,tokyo,7660,2014,,pre_vaporfly
Abel Kirui,M,Kenya,,tokyo,7744,2014,,pre_vaporfly
Lucy Wangui Kabuu,W,Kenya,,tokyo,8656,2014,,pre_vaporfly
Caroline Rotich,W,Kenya,,tokyo,8675,2014,,pre_vaporfly
Albina Mayorova,W,Russia,,tokyo,8898,2014,,pre_vaporfly
Mai Ito,W,Japan,,tokyo,8916,2014,,pre_vaporfly
Hiroko Yoshitomi,W,Japan,,tokyo,9158,2014,,pre_vaporfly
Azusa Nojiri,W,Japan,,tokyo,9219,2014,,pre_vaporfly
Atsede Baysa,W,Ethiopia,,tokyo,9303,2014,,pre_vaporfly
Kazumi Nakayama,W,Japan,,tokyo,7445,2014,,pre_vaporfly
Koki Mizuki,W,Japan,,tokyo,7655,2014,,pre_vaporfly
Endeshaw Negesse,M,Ethiopia,,tokyo,7560,2015,,pre_vaporfly
Stephen Kiprotich,M,Uganda,,tokyo,7593,2015,,pre_vaporfly
Dickson Chumba,M,Kenya,,tokyo,7594,2015,,pre_vaporfly
Shumi Dechasa,M,Bahrain,,tokyo,7640,2015,,pre_vaporfly
Peter Some,M,Kenya,,tokyo,7642,2015,,pre_vaporfly
Markos Geneti,M,Ethiopia,,tokyo,7645,2015,,pre_vaporfly
Masato Imai,M,Japan,,tokyo,7659,2015,,pre_vaporfly
Tsegaye Kebede,M,Ethiopia,,tokyo,7678,2015,,pre_vaporfly
Hiroaki Sano,M,Japan,,tokyo,7752,2015,,pre_vaporfly
Benjamin Ngandu,M,Kenya,,tokyo,7759,2015,,pre_vaporfly
Koji Gokaya,M,Japan,,tokyo,7761,2015,,pre_vaporfly
Yared Asmerom,M,Eritrea,,tokyo,7781,2015,,pre_vaporfly
Birhane Dibaba,W,Ethiopia,,tokyo,8595,2015,,pre_vaporfly
Helah Kiprop,W,Kenya,,tokyo,8643,2015,,pre_vaporfly
Tiki Gelana,W,Ethiopia,,tokyo,8666,2015,,pre_vaporfly
Sally Chepyego Kaptich,W,Kenya,,tokyo,8803,2015,,pre_vaporfly
Flomena Cheyech Daniel,W,Kenya,,tokyo,8814,2015,,pre_vaporfly
Yeshi Esayias,W,Ethiopia,,tokyo,9015,2015,,pre_vaporfly
Madoka Ogi,W,Japan,,tokyo,9025,2015,,pre_vaporfly
Albina Mayorova,W,Russia,,tokyo,9261,2015,,pre_vaporfly
Yukari Abe,W,Japan,,tokyo,9283,2015,,pre_vaporfly
Yumiko Kinoshita,W,Japan,,tokyo,9349,2015,,pre_vaporfly
Lauren Kleppin,W,United States,,tokyo,9433,2015,,pre_vaporfly
Ayano Kondo,W,Japan,,tokyo,9486,2015,,pre_vaporfly
Feyisa Lilesa,M,Ethiopia,,tokyo,7616,2016,,pre_vaporfly
Bernard Kipyego,M,Kenya,,tokyo,7653,2016,,pre_vaporfly
Dickson Chumba,M,Kenya,,tokyo,7654,2016,,pre_vaporfly
Stephen Kiprotich,M,Uganda,,tokyo,7666,2016,,pre_vaporfly
Abel Kirui,M,Kenya,,tokyo,7686,2016,,pre_vaporfly
Eliud Kiptanui,M,Kenya,,tokyo,7735,2016,,pre_vaporfly
Emmanuel Kipchirchir Mutai,M,Kenya,,tokyo,7823,2016,,pre_vaporfly
Yuki Takamiya,M,Japan,,tokyo,7857,2016,,pre_vaporfly
Javier Guerra,M,Spain,,tokyo,7861,2016,,pre_vaporfly
Yuta Shimoda,M,Japan,,tokyo,7894,2016,,pre_vaporfly
Helah Kiprop,W,Kenya,,tokyo,8487,2016,,pre_vaporfly
Amane Gobena,W,Ethiopia,,tokyo,8511,2016,,pre_vaporfly
Edna Kiplagat,W,Kenya,,tokyo,8556,2016,,pre_vaporfly
Aberu Kebede,W,Ethiopia,,tokyo,8581,2016,,pre_vaporfly
Birhane Dibaba,W,Ethiopia,,tokyo,8596,2016,,pre_vaporfly
Shure Demise,W,Ethiopia,,tokyo,8704,2016,,pre_vaporfly
Ashete Bekere,W,Ethiopia,,tokyo,8750,2016,,pre_vaporfly
Maja Neuenschwander,W,Switzerland,,tokyo,8856,2016,,pre_vaporfly
Isabellah Andersson,W,Sweden,,tokyo,9002,2016,,pre_vaporfly
Yukiko Okuno,W,Japan,,tokyo,9077,2016,,pre_vaporfly
Wilson Kipsang,M,Kenya,,tokyo,7438,2017,,vaporfly_4
Gideon Kipketer,M,Kenya,,tokyo,7551,2017,,vaporfly_4
Dickson Chumba,M,Kenya,,tokyo,7585,2017,,vaporfly_4
Evans Chebet,M,Kenya,,tokyo,7602,2017,,vaporfly_4
Alfers Lagat,M,Kenya,,tokyo,7659,2017,,vaporfly_4
Bernard Kipyego,M,Kenya,,tokyo,7690,2017,,vaporfly_4
Yohanes Ghebregergis,M,Eritrea,,tokyo,7694,2017,,vaporfly_4
Hiroto Inoue,M,Japan,,tokyo,7702,2017,,vaporfly_4
Tsegaye Kebede,M,Ethiopia,,tokyo,7725,2017,,vaporfly_4
Hiroyuki Yamamoto,M,Japan,,tokyo,7752,2017,,vaporfly_4
Sarah Chepchirchir,W,Kenya,,tokyo,8387,2017,,vaporfly_4
Birhane Dibaba,W,Ethiopia,,tokyo,8479,2017,,vaporfly_4
Amane Gobena,W,Ethiopia,,tokyo,8589,2017,,vaporfly_4
Ayaka Fujimoto,W,Japan,,tokyo,8828,2017,,vaporfly_4
Marta Lema,W,Ethiopia,,tokyo,8857,2017,,vaporfly_4
Sara Hall,W,United States,,tokyo,8906,2017,,vaporfly_4
Madoka Nakano,W,Japan,,tokyo,9180,2017,,vaporfly_4
Kotomi Takayama,W,Japan,,tokyo,9284,2017,,vaporfly_4
Hiroko Yoshimoto,W,Japan,,tokyo,9311,2017,,vaporfly_4
Mitsuko Ino,W,Japan,,tokyo,9573,2017,,vaporfly_4
Dickson Chumba,M,Kenya,,tokyo,7530,2018,,vaporfly_4
Amos Kipruto,M,Kenya,,tokyo,7593,2018,,vaporfly_4
Gideon Kipketer,M,Kenya,,tokyo,7607,2018,,vaporfly_4
Hiroto Inoue,M,Japan,,tokyo,7614,2018,,vaporfly_4
Feyisa Lilesa,M,Ethiopia,,tokyo,7650,2018,,vaporfly_4
Ryo Kiname,M,Japan,,tokyo,7688,2018,,vaporfly_4
Chihiro Miyawaki,M,Japan,,tokyo,7725,2018,,vaporfly_4
Kenji Yamamoto,M,Japan,,tokyo,7728,2018,,vaporfly_4
Yuki Sato,M,Japan,,tokyo,7738,2018,,vaporfly_4
Mohamed Reda El Aaraby,M,Morocco,,tokyo,7758,2018,,vaporfly_4
Kohei Ogino,M,Japan,,tokyo,7776,2018,,vaporfly_4
Tadashi Isshiki,M,Japan,,tokyo,7783,2018,,vaporfly_4
Akinobu Murasawa,M,Japan,,tokyo,7787,2018,,vaporfly_4
Simon Kariuki,M,Kenya,,tokyo,7800,2018,,vaporfly_4
Asuka Tanaka,M,Japan,,tokyo,7813,2018,,vaporfly_4
Hiroki Yamagishi,M,Japan,,tokyo,7814,2018,,vaporfly_4
Daichi Kamino,M,Japan,,tokyo,7818,2018,,vaporfly_4
Kengo Suzuki,M,Japan,,tokyo,7821,2018,,vaporfly_4
Tsegaye Mekonnen,M,Ethiopia,,tokyo,7826,2018,,vaporfly_4
Birhane Dibaba,W,Ethiopia,,tokyo,8391,2018,,vaporfly_4
Ruti Aga,W,Ethiopia,,tokyo,8479,2018,,vaporfly_4
Amy Cragg,W,United States,,tokyo,8502,2018,,vaporfly_4
Shure Demise,W,Ethiopia,,tokyo,8527,2018,,vaporfly_4
Helah Kiprop,W,Kenya,,tokyo,8938,2018,,vaporfly_4
Hiroko Yoshitomi,W,Japan,,tokyo,9016,2018,,vaporfly_4
Madoka Nakano,W,Japan,,tokyo,9101,2018,,vaporfly_4
Mao Uesugi,W,Japan,,tokyo,9109,2018,,vaporfly_4
Marie Imada,W,Japan,,tokyo,9120,2018,,vaporfly_4
Zhang Meixia,W,China,,tokyo,9182,2018,,vaporfly_4
Asuka Yamamoto,W,Japan,,tokyo,9266,2018,,vaporfly_4
Yoshiko Sakamoto,W,Japan,,tokyo,9340,2018,,vaporfly_4
Nana Sato,W,Japan,,tokyo,9454,2018,,vaporfly_4
Yumiko Kinoshita,W,Japan,,tokyo,9531,2018,,vaporfly_4
Haruka Yamaguchi,W,Japan,,tokyo,9582,2018,,vaporfly_4
Kasumi Takahama,W,Japan,,tokyo,9589,2018,,vaporfly_4
Momoko Tanaka,W,Japan,,tokyo,9729,2018,,vaporfly_4
Shinobu Ayabe,W,Japan,,tokyo,9751,2018,,vaporfly_4
Minami Nakashima,W,Japan,,tokyo,9796,2018,,vaporfly_4
Shiori Shimomura,W,Japan,,tokyo,9807,2018,,vaporfly_4
Kazumi Nakayama,W,Japan,,tokyo,7301,2018,,vaporfly_4
Birhanu Legese,M,Ethiopia,,tokyo,7488,2019,,vaporfly_next
Bedan Karoki,M,Kenya,,tokyo,7608,2019,,vaporfly_next
Dickson Chumba,M,Kenya,,tokyo,7724,2019,,vaporfly_next
Simon Kariuki,M,Kenya,,tokyo,7781,2019,,vaporfly_next
Kensuke Horio,M,Japan,,tokyo,7821,2019,,vaporfly_next
Masato Imai,M,Japan,,tokyo,7830,2019,,vaporfly_next
Takuya Fujikawa,M,Japan,,tokyo,7835,2019,,vaporfly_next
Daichi Kamino,M,Japan,,tokyo,7865,2019,,vaporfly_next
Ryu Takaku,M,Japan,,tokyo,7909,2019,,vaporfly_next
Tadashi Isshiki,M,Japan,,tokyo,7941,2019,,vaporfly_next
Shohei Otsuka,M,Japan,,tokyo,7956,2019,,vaporfly_next
Ryo Kuchimachi,M,Japan,,tokyo,8010,2019,,vaporfly_next
Yuki Munakata,M,Japan,,tokyo,8027,2019,,vaporfly_next
Keita Shitara,M,Japan,,tokyo,8081,2019,,vaporfly_next
Shogo Nakamura,M,Japan,,tokyo,8092,2019,,vaporfly_next
Yuki Sato,M,Japan,,tokyo,8107,2019,,vaporfly_next
Hiroto Kanamuri,M,Japan,,tokyo,8137,2019,,vaporfly_next
Toshiki Sadakata,M,Japan,,tokyo,8153,2019,,vaporfly_next
Hiroto Kunishi,M,Japan,,tokyo,8159,2019,,vaporfly_next
Hidenori Nagai,M,Japan,,tokyo,8168,2019,,vaporfly_next
Ruti Aga,W,Ethiopia,,tokyo,8440,2019,,vaporfly_next
Helen Tola,W,Ethiopia,,tokyo,8461,2019,,vaporfly_next
Shure Demise,W,Ethiopia,,tokyo,8465,2019,,vaporfly_next
Florence Kiplagat,W,Kenya,,tokyo,8510,2019,,vaporfly_next
Bedatu Hirpa,W,Ethiopia,,tokyo,8623,2019,,vaporfly_next
Ababel Yeshaneh,W,Ethiopia,,tokyo,8642,2019,,vaporfly_next
Mao Ichiyama,W,Japan,,tokyo,8673,2019,,vaporfly_next
Joan Chelimo,W,Kenya,,tokyo,8784,2019,,vaporfly_next
Rose Chelimo,W,Bahrain,,tokyo,9035,2019,,vaporfly_next
Ruth Chebitok,W,Kenya,,tokyo,9079,2019,,vaporfly_next
Yebrgual Melese,W,Ethiopia,,tokyo,9100,2019,,vaporfly_next
Honami Maeda,W,Japan,,tokyo,9102,2019,,vaporfly_next
Hiroko Yoshitomi,W,Japan,,tokyo,9150,2019,,vaporfly_next
Mao Kiyota,W,Japan,,tokyo,9184,2019,,vaporfly_next
Haruka Yamaguchi,W,Japan,,tokyo,9221,2019,,vaporfly_next
Mimi Belete,W,Bahrain,,tokyo,9304,2019,,vaporfly_next
Yoshiko Sakamoto,W,Japan,,tokyo,9376,2019,,vaporfly_next
Shiho Satonaka,W,Japan,,tokyo,9397,2019,,vaporfly_next
Keiko Nogami,W,Japan,,tokyo,9503,2019,,vaporfly_next
Kazumi Nakayama,W,Japan,,tokyo,7420,2019,,vaporfly_next
Eliud Kipchoge,M,Kenya,,tokyo,7360,2021,,super_shoe_unknown_brand
Amos Kipruto,M,Kenya,,tokyo,7393,2021,,super_shoe_unknown_brand
Tamirat Tola,M,Ethiopia,,tokyo,7454,2021,,super_shoe_unknown_brand
Kengo Suzuki,M,Japan,,tokyo,7528,2021,,super_shoe_unknown_brand
Shura Kitata,M,Ethiopia,,tokyo,7572,2021,,super_shoe_unknown_brand
Laban Korir,M,Kenya,,tokyo,7597,2021,,super_shoe_unknown_brand
